x/c,y/c
1.0,0.0
0.9966,0.05821
0.99314,0.082541
0.98961,0.1014
0.98601,0.117449
0.98235,0.131676
0.97863,0.144614
0.97484,0.156611
0.97098,0.167863
0.96706,0.17848
0.96307,0.18859
0.95902,0.198244
0.9549,0.207523
0.95072,0.216452
0.94647,0.225088
0.94216,0.233441
0.93778,0.241555
0.93333,0.24945
0.92882,0.257125
0.92425,0.264598
0.91961,0.271896
0.9149,0.27903
0.91013,0.285995
0.90529,0.292814
0.90039,0.299479
0.89542,0.306011
0.89039,0.312403
0.88529,0.318672
0.88013,0.324809
0.8749,0.330832
0.86961,0.336732
0.86425,0.342523
0.85882,0.348207
0.85333,0.353777
0.84778,0.359234
0.84216,0.364591
0.83647,0.369849
0.83072,0.374999
0.8249,0.380053
0.81902,0.385002
0.81307,0.389855
0.80706,0.394606
0.80098,0.399263
0.79484,0.403818
0.78863,0.40828
0.78235,0.412648
0.77601,0.416915
0.76961,0.421082
0.76314,0.425156
0.7566,0.429135
0.75,0.433013
0.74333,0.436796
0.73667,0.44044
0.73,0.443959
0.72333,0.447352
0.71667,0.450615
0.71,0.453762
0.70333,0.45679
0.69667,0.459697
0.69,0.462493
0.68333,0.465178
0.67667,0.467747
0.67,0.470213
0.66333,0.472571
0.65667,0.474821
0.65,0.47697
0.64333,0.479016
0.63667,0.480959
0.63,0.482804
0.62333,0.484551
0.61667,0.486198
0.61,0.48775
0.60333,0.489206
0.59667,0.490566
0.59,0.491833
0.58333,0.493007
0.57667,0.494087
0.57,0.495076
0.56333,0.495973
0.55667,0.496778
0.55,0.497494
0.54333,0.498119
0.53667,0.498653
0.529999,0.499099
0.52333,0.499455
0.51667,0.499722
0.51,0.4999
0.50333,0.499989
0.49667,0.499989
0.49,0.4999
0.48333,0.499722
0.47667,0.499455
0.470001,0.499099
0.46333,0.498653
0.45667,0.498119
0.45,0.497494
0.44333,0.496778
0.43667,0.495973
0.43,0.495076
0.42333,0.494087
0.41667,0.493007
0.41,0.491833
0.40333,0.490566
0.39667,0.489206
0.39,0.48775
0.38333,0.486198
0.37667,0.484551
0.37,0.482804
0.36333,0.480959
0.35667,0.479016
0.35,0.47697
0.34333,0.474821
0.33667,0.472571
0.33,0.470213
0.32333,0.467747
0.31667,0.465178
0.31,0.462493
0.30333,0.459697
0.29667,0.45679
0.29,0.453762
0.28333,0.450615
0.276671,0.447352
0.27,0.443959
0.26333,0.44044
0.25667,0.436796
0.25,0.433013
0.24342,0.429146
0.23693,0.425199
0.23053,0.421172
0.22421,0.417061
0.21798,0.412874
0.21184,0.408612
0.20579,0.404278
0.19982,0.399865
0.19395,0.39539
0.18816,0.39084
0.18245,0.386215
0.17684,0.381533
0.17131,0.37678
0.16587,0.371964
0.16052,0.367088
0.15526,0.362152
0.15008,0.35715
0.14499,0.352091
0.13999,0.346977
0.13508,0.341809
0.13026,0.336589
0.12552,0.331308
0.12087,0.325976
0.11631,0.320596
0.11183,0.315157
0.10745,0.309685
0.10315,0.304155
0.09893,0.298568
0.09481,0.292952
0.09077,0.287282
0.08683,0.281586
0.08297,0.275837
0.079191,0.270037
0.07551,0.264212
0.07191,0.258339
0.0684,0.252431
0.06498,0.246491
0.06164,0.240501
0.0584,0.234498
0.05524,0.228448
0.05217,0.22237
0.04918,0.216244
0.04629,0.210112
0.04348,0.203935
0.04076,0.197734
0.03812,0.191486
0.03558,0.185241
0.03312,0.17895
0.03075,0.17264
0.02847,0.166311
0.02627,0.159937
0.02417,0.153577
0.02215,0.147171
0.02022,0.140752
0.01837,0.134285
0.01662,0.127843
0.01495,0.121353
0.01337,0.114853
0.01187,0.108301
0.01047,0.101786
0.00915,0.095217
0.00792,0.088641
0.00678,0.082061
0.00572,0.075414
0.00476,0.068828
0.00388,0.062169
0.00309,0.055502
0.00238,0.048727
0.00177,0.042034
0.00124,0.035192
0.0008,0.028273
0.00044,0.020972
0.00018,0.013415
0.0,0.0
0.00018,-0.013415
0.00044,-0.020972
0.0008,-0.028273
0.00124,-0.035192
0.00177,-0.042034
0.00238,-0.048727
0.00309,-0.055502
0.00388,-0.062169
0.00476,-0.068828
0.00572,-0.075414
0.00678,-0.082061
0.00792,-0.088641
0.00915,-0.095217
0.01047,-0.101786
0.01187,-0.108301
0.01337,-0.114853
0.01495,-0.121353
0.01662,-0.127843
0.01837,-0.134285
0.02022,-0.140752
0.02215,-0.147171
0.02417,-0.153577
0.02627,-0.159937
0.02847,-0.166311
0.03075,-0.17264
0.03312,-0.17895
0.03558,-0.185241
0.03812,-0.191486
0.04076,-0.197734
0.04348,-0.203935
0.04629,-0.210112
0.04918,-0.216244
0.05217,-0.22237
0.05524,-0.228448
0.0584,-0.234498
0.06164,-0.240501
0.06498,-0.246491
0.0684,-0.252431
0.07191,-0.258339
0.07551,-0.264212
0.07919,-0.270035
0.08297,-0.275837
0.08683,-0.281586
0.09077,-0.287282
0.09481,-0.292952
0.09893,-0.298568
0.10315,-0.304155
0.10745,-0.309685
0.11183,-0.315157
0.11631,-0.320596
0.12087,-0.325976
0.12552,-0.331308
0.13026,-0.336589
0.13508,-0.341809
0.13999,-0.346977
0.14499,-0.352091
0.15008,-0.35715
0.15526,-0.362152
0.16052,-0.367088
0.16587,-0.371964
0.17131,-0.37678
0.17684,-0.381533
0.18245,-0.386215
0.18816,-0.39084
0.19395,-0.39539
0.19982,-0.399865
0.20579,-0.404278
0.21184,-0.408612
0.21798,-0.412874
0.22421,-0.417061
0.23053,-0.421172
0.23693,-0.425199
0.24342,-0.429146
0.25,-0.433013
0.25667,-0.436796
0.26333,-0.44044
0.27,-0.443959
0.27667,-0.447352
0.28333,-0.450615
0.29,-0.453762
0.29667,-0.45679
0.30333,-0.459697
0.31,-0.462493
0.31667,-0.465178
0.32333,-0.467747
0.33,-0.470213
0.33667,-0.472571
0.34333,-0.474821
0.35,-0.47697
0.35667,-0.479016
0.36333,-0.480959
0.37,-0.482804
0.37667,-0.484551
0.38333,-0.486198
0.39,-0.48775
0.39667,-0.489206
0.40333,-0.490566
0.41,-0.491833
0.41667,-0.493007
0.42333,-0.494087
0.43,-0.495076
0.43667,-0.495973
0.44333,-0.496778
0.45,-0.497494
0.45667,-0.498119
0.46333,-0.498653
0.47,-0.499099
0.47667,-0.499455
0.48333,-0.499722
0.49,-0.4999
0.49667,-0.499989
0.50333,-0.499989
0.51,-0.4999
0.51667,-0.499722
0.52333,-0.499455
0.53,-0.499099
0.53667,-0.498653
0.54333,-0.498119
0.55,-0.497494
0.55667,-0.496778
0.56333,-0.495973
0.57,-0.495076
0.57667,-0.494087
0.58333,-0.493007
0.59,-0.491833
0.596669,-0.490566
0.60333,-0.489206
0.61,-0.48775
0.61667,-0.486198
0.62333,-0.484551
0.63,-0.482804
0.63667,-0.480959
0.64333,-0.479016
0.65,-0.47697
0.65667,-0.474821
0.66333,-0.472571
0.67,-0.470213
0.67667,-0.467747
0.68333,-0.465178
0.69,-0.462493
0.69667,-0.459697
0.70333,-0.45679
0.71,-0.453762
0.71667,-0.450615
0.72333,-0.447352
0.73,-0.443959
0.73667,-0.44044
0.74333,-0.436796
0.75,-0.433013
0.7566,-0.429135
0.76314,-0.425156
0.76961,-0.421082
0.77601,-0.416915
0.78235,-0.412648
0.78863,-0.40828
0.79484,-0.403818
0.80098,-0.399263
0.80706,-0.394606
0.81307,-0.389855
0.81902,-0.385002
0.8249,-0.380053
0.83072,-0.374999
0.83647,-0.369849
0.84216,-0.364591
0.84778,-0.359234
0.85333,-0.353777
0.85882,-0.348207
0.86425,-0.342523
0.86961,-0.336732
0.8749,-0.330832
0.88013,-0.324809
0.88529,-0.318672
0.89039,-0.312403
0.89542,-0.306011
0.90039,-0.299479
0.90529,-0.292814
0.91013,-0.285995
0.9149,-0.27903
0.91961,-0.271896
0.92425,-0.264598
0.92882,-0.257125
0.93333,-0.24945
0.93778,-0.241555
0.94216,-0.233441
0.94647,-0.225088
0.95072,-0.216452
0.9549,-0.207523
0.95902,-0.198244
0.96307,-0.18859
0.96706,-0.17848
0.97098,-0.167863
0.97484,-0.156611
0.97863,-0.144614
0.98235,-0.131676
0.98601,-0.117449
0.98961,-0.1014
0.99314,-0.082541
0.9966,-0.05821
1.0,0.0
