Alpha,Cl,Cd,Cm
-90.0,0.0,1.5,0.25
-85.0,-0.1736,1.489,0.249
-80.0,-0.342,1.455,0.2462
-75.0,-0.5,1.399,0.2415
-70.0,-0.6428,1.325,0.2349
-65.0,-0.766,1.232,0.2266
-60.0,-0.866,1.125,0.2165
-55.0,-0.9397,1.006,0.2048
-50.0,-0.9848,0.8603,0.1915
-45.0,-1.012,0.712,0.1708
-40.0,-1.038,0.5475,0.1416
-39.0,-1.042,0.5165,0.1346
-38.0,-1.046,0.4816,0.1276
-37.0,-1.052,0.4487,0.1185
-36.0,-1.057,0.4177,0.1095
-35.0,-1.061,0.3848,0.1005
-34.0,-1.065,0.3558,0.0894
-33.0,-1.072,0.3289,0.0824
-32.0,-1.077,0.3031,0.0678
-30.0,-1.089,0.256,0.0508
-28.0,-1.099,0.209,0.0337
-26.0,-1.117,0.1756,0.0206
-24.0,-1.128,0.1423,0.0075
-22.0,-1.121,0.1183,-0.0008
-20.0,-1.115,0.0943,-0.0091
-18.0,-1.092,0.0765,-0.0123
-16.0,-1.069,0.0587,-0.0156
-14.0,-1.038,0.0454,-0.0156
-12.0,-1.007,0.0321,-0.0155
-10.0,-0.8479,0.023,-0.0318
-8.0,-0.6892,0.0138,-0.048
-6.0,-0.4278,0.0118,-0.0611
-4.0,-0.1665,0.0098,-0.0742
-2.0,0.0863,0.0095,-0.0811
0.0,0.3391,0.0092,-0.088
2.0,0.5867,0.0094,-0.0933
4.0,0.8301,0.0099,-0.0977
6.0,1.066,0.0109,-0.1008
8.0,1.291,0.0124,-0.1026
10.0,1.501,0.0144,-0.1024
12.0,1.689,0.0173,-0.0998
14.0,1.81,0.0226,-0.0941
16.0,1.814,0.0354,-0.0874
18.0,1.754,0.0647,-0.085
20.0,1.607,0.1035,-0.0913
22.0,1.526,0.1437,-0.1026
24.0,1.443,0.1841,-0.114
26.0,1.383,0.229,-0.1282
28.0,1.322,0.2738,-0.1423
30.0,1.258,0.3278,-0.1582
32.0,1.194,0.3816,-0.1739
33.0,1.173,0.4209,-0.179
34.0,1.157,0.4504,-0.1831
35.0,1.138,0.4815,-0.1873
36.0,1.125,0.5105,-0.1914
37.0,1.118,0.545,-0.1953
38.0,1.102,0.5737,-0.1993
39.0,1.089,0.5999,-0.2032
40.0,1.075,0.628,-0.2071
45.0,1.018,0.7578,-0.2161
50.0,0.9716,0.882,-0.2184
55.0,0.9268,1.01,-0.2214
60.0,0.866,1.125,-0.2255
65.0,0.766,1.232,-0.2306
70.0,0.6428,1.325,-0.2349
75.0,0.5,1.399,-0.2415
80.0,0.342,1.455,-0.2462
85.0,0.1736,1.489,-0.249
90.0,0.0,1.5,-0.25
