r/R,y/R (y-distance of AC from middle point of hub)
0.0000000000000000e+00,-0.0000000000000000e+00
2.2222764227642276e-02,5.6046923577235772e-05
6.6666666666666666e-02,1.7075481300813007e-03
1.1111056910569106e-01,4.0880707317073172e-03
1.6666666666666666e-01,7.4992112195121953e-03
2.3333333333333334e-01,9.2661243902439037e-03
2.9999999999999999e-01,8.9188346341463418e-03
3.6666666666666670e-01,8.5295936585365866e-03
4.3333333333333329e-01,8.0690528455284547e-03
5.0000000000000000e-01,7.5682528455284547e-03
5.6666666666666665e-01,7.0867510569105688e-03
6.3333333333333341e-01,6.6002151219512195e-03
6.9999999999999996e-01,6.1087887804878041e-03
7.6666666666666661e-01,5.6132853658536590e-03
8.3333333333333337e-01,5.1160710569105690e-03
8.8888943089430894e-01,4.7006861788617890e-03
9.3333333333333335e-01,4.2397489430894310e-03
9.7777723577235764e-01,2.8841414634146341e-03
9.9999837398373981e-01,2.8841414634146341e-03
1.0000000000000000e+00,2.8841414634146341e-03
