Alpha		Cd_inviscid		Cd

-9.5  		0.023835  		0.03856
-9.0  		0.021442  		0.03514
-8.5  		0.019169  		0.03228
-8.0  		0.017016  		0.029664
-7.5  		0.014985  		0.027179
-7.0  		0.013078  		0.024689
-6.5  		0.011295  		0.022417
-6.0  		0.00964  		0.020362
-5.5  		0.008112  		0.018402
-5.0  		0.006713  		0.016632
-4.5  		0.005444  		0.014998
-4.0  		0.004306  		0.013492
-3.5  		0.0033  		0.012164
-3.0  		0.002427  		0.010992
-2.5  		0.001686  		0.00995
-2.0  		0.00108  		0.009057
-1.5  		0.000608  		0.008318
-1.0  		0.00027  		0.007735
-0.5  		6.8e-5  		0.007295
0.0  		0.0  			0.007003
0.5  		6.8e-5  		0.006857
1.0  		0.00027  		0.006849
1.5  		0.000608  		0.006967
2.0  		0.00108  		0.007248
2.5  		0.001686  		0.007713
3.0  		0.002427  		0.00835
3.5  		0.0033  		0.009155
4.0  		0.004306  		0.010135
4.5  		0.005444  		0.011317
5.0  		0.006713  		0.012691
5.5  		0.008112  		0.014216
6.0  		0.00964  		0.015882
6.5  		0.011295  		0.017685
7.0  		0.013078  		0.019625
7.5  		0.014985  		0.021699
8.0  		0.017016  		0.023931
8.5  		0.019169  		0.026317
9.0  		0.021442  		0.028874
9.5  		0.023835  		0.031628
10.0  		0.026344  		0.034562
10.5  		0.028968  		0.037681
11.0  		0.031705  		0.040997
11.5  		0.034553  		0.044462
12.0  		0.03751  		0.048052
12.5  		0.040573  		0.051761
13.0  		0.043741  		0.0556
13.5  		0.04701  		0.059561
14.0  		0.050378  		0.063659
14.5  		0.053843  		0.067949
