# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,LGYVPXLNVF,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,20,33
# x,y,z,u,w
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
3.923403951555740399e+00, 0.000000000000000000e+00, -5.545073605083187737e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
3.813330336712476232e+00, 0.000000000000000000e+00, -1.344879096672118440e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
3.658422063594742646e+00, 0.000000000000000000e+00, -2.446038603040371490e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
3.446717563905147941e+00, 0.000000000000000000e+00, -3.934666882183757153e-02, 1.000000000000000000e+00, 2.765358755368440558e-01
3.168699564574808836e+00, 0.000000000000000000e+00, -5.866514590035268317e-02, 1.000000000000000000e+00, 4.134663504172013671e-01
2.822096608965107833e+00, 0.000000000000000000e+00, -8.229516343802162348e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
2.416922498904408023e+00, 0.000000000000000000e+00, -1.087593893076421458e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
1.977378618997999826e+00, 0.000000000000000000e+00, -1.345262058370718661e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
1.537531350368916083e+00, 0.000000000000000000e+00, -1.543772739739379674e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
1.131684950028673198e+00, 0.000000000000000000e+00, -1.667002707889637114e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.842986612847795413e-01, 0.000000000000000000e+00, -1.688905005944601745e-01, 1.000000000000000000e+00, 1.586533649582798633e+00
5.058162837667142808e-01, 0.000000000000000000e+00, -1.590052156196832822e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
2.947275262147062147e-01, 0.000000000000000000e+00, -1.376054397821670494e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
1.428897278105709656e-01, 0.000000000000000000e+00, -1.056001332429101491e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
4.236109119522404876e-02, 0.000000000000000000e+00, -6.116012779889034440e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
3.039057391543458289e-02, 0.000000000000000000e+00, 6.898995783709097052e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
1.225933315857082040e-01, 0.000000000000000000e+00, 1.316260183883892210e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
2.690201069734528549e-01, 0.000000000000000000e+00, 1.892970132294973240e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
4.776036036784563343e-01, 0.000000000000000000e+00, 2.421796068086551623e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.568553776017457047e-01, 0.000000000000000000e+00, 2.856490481537455328e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
1.108178744057249698e+00, 0.000000000000000000e+00, 3.122103580689163382e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
1.519978433926111094e+00, 0.000000000000000000e+00, 3.145427752145695255e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
1.965989159219026394e+00, 0.000000000000000000e+00, 2.916820818408312199e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.410795185260322437e+00, 0.000000000000000000e+00, 2.515730569686369100e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
2.819677794530739412e+00, 0.000000000000000000e+00, 2.021072642227217941e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
3.168405264155080392e+00, 0.000000000000000000e+00, 1.513844062536528756e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
3.447334020022146284e+00, 0.000000000000000000e+00, 1.054093465687594294e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
3.659209923343754056e+00, 0.000000000000000000e+00, 6.729009146773536065e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
3.813932224691172657e+00, 0.000000000000000000e+00, 3.767243702343610334e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
3.923702666154813556e+00, 0.000000000000000000e+00, 1.572309653819334990e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
4.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
4.115586969616138013e+00, 4.736842105263152636e-01, 0.000000000000000000e+00, 1.052631578947368363e+00, 0.000000000000000000e+00
4.042014449399941256e+00, 4.736842105263152636e-01, -5.326189120672009981e-03, 1.052631578947368363e+00, 4.173311976788848798e-02
3.936285845668911598e+00, 4.736842105263152636e-01, -1.291791763908745408e-02, 1.052631578947368363e+00, 9.595583006934514658e-02
3.787492372805825180e+00, 4.736842105263152636e-01, -2.349484447657198757e-02, 1.052631578947368363e+00, 1.722603643809275942e-01
3.584144629682925132e+00, 4.736842105263152636e-01, -3.779351084202819955e-02, 1.052631578947368363e+00, 2.765358755368440558e-01
3.317101025062994424e+00, 4.736842105263152636e-01, -5.634941645691771139e-02, 1.052631578947368363e+00, 4.134663504172013671e-01
2.984179765069465695e+00, 4.736842105263152636e-01, -7.904667014441550676e-02, 1.052631578947368363e+00, 5.841612375912467181e-01
2.594999369879582574e+00, 4.736842105263152636e-01, -1.044662555191825937e-01, 1.052631578947368363e+00, 7.836633902842906618e-01
2.172805906285269817e+00, 4.736842105263152636e-01, -1.292159608698190132e-01, 1.052631578947368363e+00, 1.000000000000000000e+00
1.750321029838912912e+00, 4.736842105263152636e-01, -1.482834342118088400e-01, 1.052631578947368363e+00, 1.216336609715709338e+00
1.360494882143679529e+00, 4.736842105263152636e-01, -1.601199969420309399e-01, 1.052631578947368363e+00, 1.415838762408753171e+00
1.026821210060729239e+00, 4.736842105263152636e-01, -1.622237703078367455e-01, 1.052631578947368363e+00, 1.586533649582798633e+00
7.593315579710087082e-01, 4.736842105263152636e-01, -1.527286939504852725e-01, 1.052631578947368363e+00, 1.723464124463156111e+00
5.565752513750008568e-01, 4.736842105263152636e-01, -1.321736461065552148e-01, 1.052631578947368363e+00, 1.827739635619072267e+00
4.107310502762918647e-01, 4.736842105263152636e-01, -1.014317069306900077e-01, 1.052631578947368363e+00, 1.904044169930654951e+00
3.141706493168139880e-01, 4.736842105263152636e-01, -5.874591222788151657e-02, 1.052631578947368363e+00, 1.958266880232111484e+00
2.734817064582434898e-01, 4.736842105263152636e-01, 0.000000000000000000e+00, 1.052631578947368363e+00, 2.000000000000000000e+00
3.026726524559635312e-01, 4.736842105263152636e-01, 6.626667002773212189e-02, 1.052631578947368363e+00, 2.041733119767888294e+00
3.912358275866211210e-01, 4.736842105263152636e-01, 1.264302545046370185e-01, 1.052631578947368363e+00, 2.095955830069344827e+00
5.318825986827443453e-01, 4.736842105263152636e-01, 1.818247627072803185e-01, 1.052631578947368363e+00, 2.172260364380927733e+00
